CustomerID,Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,AdvertisingPlatform,AdvertisingTool,Conversion
8000,56,Female,136912,Social Media,Awareness,6497.870068,0.04391851074,0.08803141207,0,2.399016528,7.396802581,19,6,9,4,688,IsConfid,ToolConfid,1
8001,69,Male,41760,Email,Retention,3898.668606,0.1557250711,0.1827246825,42,2.917137755,5.352548601,5,2,7,2,3459,IsConfid,ToolConfid,1
8002,46,Female,88456,PPC,Awareness,1546.429596,0.2774903687,0.07642272008,2,8.223619098,13.79490147,0,11,2,8,2337,IsConfid,ToolConfid,1
8003,32,Female,44085,PPC,Conversion,539.5259358,0.1376112536,0.08800418669,47,4.540938973,14.68836262,89,2,2,0,2463,IsConfid,ToolConfid,1
8004,60,Female,83964,PPC,Conversion,1678.043573,0.2528511066,0.1099401032,0,2.046847118,13.9933704,6,6,6,8,4345,IsConfid,ToolConfid,1
8005,25,Female,42925,Social Media,Awareness,9579.388247,0.1537946791,0.1613161265,6,2.125849719,7.752831242,95,5,8,0,3316,IsConfid,ToolConfid,1
8006,38,Female,25615,Referral,Awareness,7302.899852,0.0409753864,0.06097682028,42,1.753994645,10.69867161,54,14,3,6,930,IsConfid,ToolConfid,1
8007,56,Female,57083,Social Media,Conversion,5324.283667,0.05287792856,0.1889459249,48,2.62601478,2.987817382,96,9,3,0,2983,IsConfid,ToolConfid,1
8008,36,Female,140788,Email,Retention,9421.250951,0.02353596831,0.1125850114,13,5.47284282,14.28742058,73,4,8,5,460,IsConfid,ToolConfid,1
8009,40,Male,130764,Social Media,Awareness,6229.193333,0.06664127477,0.1697856796,22,1.135664698,4.613311984,14,8,4,8,3789,IsConfid,ToolConfid,1
8010,28,Male,88319,PPC,Retention,7283.887364,0.269148089,0.1098675119,47,2.054180722,3.294720457,94,16,5,6,1987,IsConfid,ToolConfid,1
8011,28,Male,29605,SEO,Awareness,2898.253003,0.1985574333,0.1566787072,16,9.164109335,1.372299211,23,18,6,5,2403,IsConfid,ToolConfid,1
8012,41,Male,131093,Email,Conversion,5930.920252,0.2242685111,0.01976994297,13,8.88923234,8.480384141,28,16,5,4,2946,IsConfid,ToolConfid,1
8013,53,Male,64608,SEO,Awareness,1520.424719,0.1902818229,0.1618503715,8,8.497723392,14.25272496,81,8,1,2,2818,IsConfid,ToolConfid,1
8014,57,Male,148788,Email,Awareness,4104.383137,0.1220963947,0.1095522917,20,7.356534606,2.466029635,70,16,8,1,3247,IsConfid,ToolConfid,1
8015,41,Female,39192,Email,Awareness,429.0792174,0.07288972851,0.09538896176,44,6.953694912,2.252039383,33,0,1,1,4474,IsConfid,ToolConfid,0
8016,20,Female,23331,PPC,Conversion,2244.618067,0.2784282294,0.03120583666,1,3.4796423,4.452665667,77,7,8,8,3252,IsConfid,ToolConfid,1
8017,39,Female,71330,Social Media,Conversion,841.1994313,0.1593006367,0.1508968824,31,4.014950793,10.14821145,83,18,5,2,3463,IsConfid,ToolConfid,1
8018,19,Female,117392,PPC,Conversion,3939.010313,0.1495189656,0.03492109398,7,3.122219616,8.443295842,92,8,4,6,2222,IsConfid,ToolConfid,1
8019,41,Female,69949,PPC,Consideration,8446.04813,0.2988701857,0.04654038443,35,9.822822688,1.895000924,36,7,7,3,3644,IsConfid,ToolConfid,1
8020,61,Female,88382,PPC,Consideration,3841.547653,0.1213396966,0.03402041858,25,6.708743068,6.913353501,41,5,1,6,1651,IsConfid,ToolConfid,1
8021,47,Female,119233,SEO,Consideration,8333.232297,0.2576963413,0.01124936547,36,9.691906324,1.470518153,63,14,0,5,2586,IsConfid,ToolConfid,1
8022,55,Male,57586,Email,Consideration,6599.333295,0.2600797775,0.1357636182,14,3.446078038,12.85260044,94,14,6,9,1989,IsConfid,ToolConfid,1
8023,19,Female,72243,Referral,Conversion,5144.341522,0.077474361,0.06146036851,33,6.590882005,2.053120799,18,5,5,3,1417,IsConfid,ToolConfid,1
8024,38,Female,120566,Social Media,Awareness,2445.227763,0.03750351078,0.03839938725,20,7.830556785,7.333825521,22,14,3,2,1563,IsConfid,ToolConfid,1
8025,50,Female,144213,PPC,Conversion,9229.345319,0.2929298336,0.07079477168,22,1.852651784,7.901721933,70,17,3,3,2227,IsConfid,ToolConfid,1
8026,29,Male,78618,Email,Consideration,636.5880075,0.1335100906,0.1048260914,8,7.002648583,8.186830948,5,5,5,1,129,IsConfid,ToolConfid,0
8027,39,Male,98311,Social Media,Retention,6920.238875,0.01064389338,0.105648379,39,2.521653108,9.332746262,98,17,6,1,2688,IsConfid,ToolConfid,1
8028,61,Female,27549,Referral,Retention,6250.274939,0.1547151718,0.07976724158,25,3.95274201,10.6729451,92,17,1,3,68,IsConfid,ToolConfid,1
8029,42,Female,138168,Referral,Conversion,4466.31107,0.1895971055,0.1040371315,42,7.445377035,0.5631910962,54,18,6,2,3079,IsConfid,ToolConfid,1
8030,66,Male,72494,PPC,Awareness,2479.177457,0.2350655918,0.09119487698,21,4.960582618,0.9482583272,76,19,9,4,1011,IsConfid,ToolConfid,1
8031,44,Male,107973,Referral,Consideration,4363.889775,0.2834532143,0.1663063969,12,9.29045668,9.367495241,38,12,6,0,911,IsConfid,ToolConfid,1
8032,59,Female,43958,Referral,Awareness,8740.449983,0.2753994824,0.01562665382,24,3.170819821,3.141059633,24,10,5,6,4683,IsConfid,ToolConfid,1
8033,45,Female,109779,Social Media,Awareness,8383.984492,0.2826393878,0.1749257253,6,2.384030882,12.56175415,97,14,2,3,467,IsConfid,ToolConfid,1
8034,33,Male,127713,Social Media,Awareness,9419.674375,0.019316293,0.05634389858,26,4.034547735,9.59891891,82,5,7,5,653,IsConfid,ToolConfid,1
8035,32,Female,127960,PPC,Consideration,3147.152746,0.2164144988,0.1471386209,14,8.667309012,14.71581057,3,10,0,1,2429,IsConfid,ToolConfid,1
8036,64,Male,114520,Email,Conversion,3932.331168,0.07549880921,0.0869575271,11,8.626820998,11.05606221,87,3,7,3,1066,IsConfid,ToolConfid,1
